service,ports,attack_name,auth_required,dangerous
smb,445,EternalBlue (MS17-010),0,1
smb,445,SMB Null Session,0,0
smb,445,SMB Signing Disabled,0,0
smb,445,MS08-067 (NetAPI),0,1
smb,445,MS06-025 (RAS/RRAS),0,1
smb,445,MS07-029 (DNS RPC),0,1
smb,445,MS10-054 (SMBv1 Memory Corruption),0,1
smb,445,MS10-061 (Print Spooler),1,1
smb,445,SMBv2 Infinite Loop (CVE-2009-3103),0,1
smb,445,SMB Relay,0,1
smb,445,PsExec / Remote Execution,1,1
smb,445,SAMR / LSA Dump (Registry Dump),1,1
smb,445,NTLM Stealing (Forced Auth),0,1
smb,445,SMB Brute Force,0,1
smb,445,User Enumeration (RID Cycling),0,0
